nb_training: [0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]
mean_collected_food: [0.08, 1.82, 3.62, 5.54, 7.42, 8.36, 9.06, 9.74, 7.86, 9.2, 9.34, 10.52, 9.66, 10.86, 11.18, 12.68]
mean_collision: [7.34, 7.32, 11.82, 9.06, 4.8, 2.76, 3.36, 4.32, 2.72, 0.48, 1.62, 2.14, 0.7, 1.86, 2.32, 4.28]
mean_death: [0.16, 0.3, 0.3, 0.42, 0.24, 0.56, 0.34, 0.4, 0.38, 0.18, 0.3, 0.28, 0.28, 0.32, 0.4, 0.28]
nb_training: [0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]
mean_collected_food: [0.04, 4.02, 4.26, 7.14, 6.74, 8.62, 10.86, 7.5, 8.28, 8.3, 10.4, 8.82, 10.14, 11.14, 11.32, 12.02]
mean_collision: [6.06, 5.94, 14.14, 2.8, 13.02, 4.44, 2.84, 2.54, 5.88, 4.84, 0.52, 4.38, 1.76, 1.04, 0.34, 1.14]
mean_death: [0.06, 0.44, 0.5, 0.44, 0.42, 0.36, 0.42, 0.24, 0.42, 0.38, 0.26, 0.38, 0.38, 0.16, 0.24, 0.26]
nb_training: [0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]
mean_collected_food: [0.04, 2.32, 5.52, 8.88, 6.04, 8.58, 9.56, 6.32, 7.84, 9.28, 9.56, 8.66, 10.58, 10.7, 11.5, 12.3]
mean_collision: [3.02, 2.56, 7.4, 5.18, 2.48, 8.98, 5.84, 0.34, 1.68, 6.38, 1.68, 1.74, 0.68, 2.6, 1.88, 3.9]
mean_death: [0.22, 0.26, 0.48, 0.52, 0.22, 0.42, 0.46, 0.14, 0.52, 0.44, 0.3, 0.6, 0.34, 0.36, 0.26, 0.2]
nb_training: [0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]
mean_collected_food: [0.14, 3.44, 4.62, 7.72, 7.64, 8.56, 6.04, 8.08, 9.46, 8.42, 9.46, 10.98, 11.18, 8.02, 10.04, 11.66]
mean_collision: [20.06, 18.6, 7.34, 8.14, 6.48, 7.14, 2.1, 2.3, 3.66, 1.52, 2.96, 2.78, 1.88, 3.04, 3.92, 8.24]
mean_death: [0.02, 0.48, 0.38, 0.58, 0.54, 0.54, 0.22, 0.3, 0.18, 0.36, 0.34, 0.24, 0.3, 0.34, 0.3, 0.32]
nb_training: [0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]
mean_collected_food: [0.06, 4.7, 7.22, 7.28, 8.4, 8.56, 7.84, 7.36, 9.56, 7.36, 10.44, 9.38, 9.52, 10.7, 10.64, 11.64]
mean_collision: [31.58, 10.56, 12.54, 5.24, 1.26, 0.2, 3.82, 3.58, 1.8, 0.36, 0.72, 2.14, 5.24, 2.8, 5.38, 1.78]
mean_death: [0.12, 0.72, 0.56, 0.5, 0.42, 0.3, 0.36, 0.18, 0.32, 0.16, 0.3, 0.3, 0.48, 0.3, 0.14, 0.26]
nb_training: [0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]
mean_collected_food: [0.26, 2.78, 4.84, 8.64, 7.28, 9.04, 9.78, 7.88, 8.86, 6.24, 9.8, 8.92, 11.68, 9.88, 8.82, 11.16]
mean_collision: [4.42, 4.82, 6.08, 8.32, 3.8, 6.02, 6.78, 7.06, 3.84, 1.82, 1.62, 1.02, 0.28, 0.8, 0.98, 0.3]
mean_death: [0.18, 0.48, 0.38, 0.62, 0.4, 0.44, 0.44, 0.34, 0.4, 0.14, 0.32, 0.22, 0.14, 0.16, 0.28, 0.22]
nb_training: [0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]
mean_collected_food: [0.04, 4.52, 5.86, 6.92, 8.02, 9.72, 10.46, 9.84, 9.6, 9.96, 10.82, 8.64, 10.5, 11.26, 11.64, 12.25]
mean_collision: [33.98, 5.82, 11.24, 7.54, 6.1, 1.76, 2.66, 0.8, 1.34, 3.68, 1.46, 1.56, 0.36, 1.48, 1.0, 3.84]
mean_death: [0.16, 0.44, 0.48, 0.52, 0.58, 0.46, 0.42, 0.32, 0.28, 0.4, 0.3, 0.34, 0.26, 0.14, 0.28, 0.44]
nb_training: [0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]
mean_collected_food: [0.02, 5.1, 5.48, 5.9, 8.24, 9.94, 10.5, 8.9, 10.04, 10.08, 8.68, 9.76, 11.8, 11.18, 12.78, 11.9]
mean_collision: [1.22, 7.52, 6.06, 3.76, 4.58, 2.96, 2.56, 1.22, 3.76, 0.84, 0.12, 0.66, 0.44, 0.14, 0.32, 0.9]
mean_death: [0.14, 0.42, 0.32, 0.46, 0.46, 0.42, 0.32, 0.26, 0.32, 0.26, 0.14, 0.18, 0.28, 0.24, 0.24, 0.16]
